predicted_message_type,message_type,sms_sender,message
DECLINE,DECLINE,JM-AxisBk,Incorrect PIN entered at /. 3 incorrect attempts will block your card till 21-30 IST. Select SET PIN at ATM or call 18605005555 to reset.
DECLINE,DECLINE,VM-CANBNK,Your fund transfer for Rs.300.00 on 06-06-21 could not be processed. Please try later(IMPS Ref no.115707485970). - Canara Bank.
DECLINE,DECLINE,JD-SBIPSG,"Dear Customer,Entered Account number is invalid.Kindly check and try again"
TRANSFER,TRANSFER,AD-CANBNK,Your a/c no. XXXXXXXXX2742 has been debited for Rs.3000.00 on 6/6/21 9:26 AM towards beneficiary a/c no. 2798 (UPI Ref no 115787854586)-Canara Bank
TRANSFER,PAY,AD-CANBNK,An amount of INR 170.00 has been DEBITED to your account XXXX8187 on 26/05/2021. Total Avail.bal INR 31.55. - Canara Bank
TRANSFER,TRANSFER,BP-CANBNK,Your a/c no. XXXXXXXXX7015 has been debited for Rs.600.00 on 14/5/21 4:17 AM towards beneficiary a/c no. 0264 (UPI Ref no 113420106714)-Canara Bank
TRANSFER,TRANSFER,ADCANBNK,Your a/c no. XXXXXXXXX7768 has been debited for Rs.500.00 on 6/6/21 12:08 AM towards beneficiary a/c no. 0918 (UPI Ref no 115764532267)-Canara Bank
TRANSFER,PAY,AD-CANBNK,An amount of INR 49.00 has been DEBITED to your account XXXX6344 on 06/06/2021. Total Avail.bal INR 555.59. - Canara Bank
TRANSFER,TRANSFER,VK-CANBNK,Your a/c no. XXXXXXXXXX0370 has been debited for Rs.230.00 on 6/6/21 12:17 PM towards beneficiary a/c no. 9601 (UPI Ref no 115788586802)-Canara Bank
TRANSFER,TRANSFER,TM-CANBNK,Your a/c no. XXXXXXXXXX2429 has been debited for Rs.25.00 on 6/3/21 9:44 AM towards beneficiary a/c no. 0007 (UPI Ref no 115409046089)-Canara Bank
TRANSFER,PAY,AX-CANBNK,"An amount of INR 2.00 has been DEBITED to your account XXXX1198 on 17/04/2021. Total Avail.bal INR 10,915.00. - Canara Bank"
TRANSFER,TRANSFER,AD-CANBNK,Your a/c no. XXXXXXXXX2460 has been debited for Rs.1170.00 on 27/2/21 1:11 AM towards beneficiary  a/c no. 0061 (UPI Ref no 105801240506)
TRANSFER,PAY,AD-CANBNK,"Rs. 75.00 has been DEBITED to your A/cXX9938 on 17/08/2020 .Avl Bal Rs 41,428.16  .To report fraud & stop further debit SMS SUSPECT to 56161"
TRANSFER,TRANSFER,VM-CANBNK,Your a/c no. XXXXXXXXXX1680 has been debited for Rs.50.00 on 6/6/21 12:41 PM towards beneficiary a/c no. 9502 (UPI Ref no 115729592507)-Canara Bank
TRANSFER,PAY,TM-CANBNK,"An amount of INR 699.00 has been DEBITED to your account XXXX7360 on 06/06/2021. Total Avail.bal INR 20,319.46. - Canara Bank"
TRANSFER,PAY,AD-CANBNK,An amount of INR 299.00 has been DEBITED to your account XXXX0295 on 17/05/2021. Total Avail.bal INR 318.61. - Canara Bank
TRANSFER,,BH-PNBSMS,"खाता सं0. XXXXXXXX01185355 में यूपीआई के माध्यम से दिनांक 02-11-2020 21:16:40 को राशि Rs.100.00, क्रेडिट हुई है। उपलब्ध बैलेंस Rs.453.85 CR. है। (UPI Ref ID:030721037492) हेल्पलाईन 18001802222"
TRANSFER,TRANSFER,AX-CANBNK,Your a/c no. XXXXXXXXX4589 has been debited for Rs.30.00 on 3/2/21 2:11 PM towards beneficiary  a/c no. 4502 (UPI Ref no 106160498771)
TRANSFER,PAY,VD-CanBnk,An amount of INR 1.00 has been DEBITED to your account XXXX2233 on 09/04/2021. Total Avail.bal INR 62.00. - Canara Bank
TRANSFER,PAY,JD-CanBnk,"An amount of INR 200.00 has been DEBITED to your account XXXXX07323 on 29/04/2021. Total Avail.bal INR 1,263.18. - Canara Bank"
TRANSFER,TRANSFER,TM-CANBNK,Your a/c no. XXXXXXXXX0260 has been debited for Rs.16.00 on 6/6/21 8:09 PM towards beneficiary a/c no. 0130 (UPI Ref no 115720930369)-Canara Bank
TRANSFER,TRANSFER,VM-CANBNK,Your a/c no. XXXXXXXXX9946 has been debited for Rs.40.00 on 3/9/21 7:44 PM towards beneficiary a/c no. 1282 (UPI Ref no 106825533427)-Canara Bank
TRANSFER,TRANSFER,VK-CANBNK,Your a/c no. XXXXXXXXX2176 has been debited for Rs.1000.00 on 9/23/20 8:14 PM towards beneficiary  a/c no. XXXXXXXXXX4323 (UPI Ref no 026702202032)
PAY,PAY,AXCANBNK,A/C XXXX2480 linked to card XXXX5763 debited Rs INR 208.00 on 25/03/2021 POS txn.Avl Bal is Rs INR 460.28.To report fraud & stop further debit SMS SUSPECT to 56161- Canara Bank
PAY,TRANSFER,AX-BOBSMS,Your VPA 9058449260@ybl linked to your a/c no. XXXXXX8583 is debited for Rs. 2000.0 and credited to a/c no. XXXXXX5431 UPI Ref no. 115539748486. - Bank of Baroda
PAY,TRANSFER,BP-PAYTMB,"Sent Rs. 5000.00 to Samivel  R via a Paytm bank partner. Service charge 1%, min Rs. 10. Reference ID: 018313210458. Queries? Write to us at http://m.paytm.me/care  "
PAY,TRANSFER,AD-BOBSMS,Your VPA chudasamameena89@okhdfcbank linked to your a/c no.  XXXXXX8766 is debited for Rs. 100.0 and credited to VPA billdesk.tata-sky@icici UPI Ref no. 
PAY,PAY,BP-PAYTMB,Paid Rs. 40.0 for vehicle reg. no PB65AU9875 at Ambala Chandigarh on 02-07-2020 at 06:06:05. Toll txn Id: 00605576407
PAY,TRANSFER,BPPAYTMB,"Sent Rs. 5000.00 to KARTHICK via a Paytm bank partner. Service charge 1%, min Rs. 10. Ref ID: 103223439973. Queries? Visit http://m.paytm.me/care  "
PAY,PAY,BP-iPaytm,"Paid Rs 139.0 toll for RJ19PB8611 at Nayagaon on 08 Apr 2021, 01:00 AM. TxnId: 681617827828192839353P.Updated Paytm Bal: Paytm Wallet- Rs 1244"
PAY,INFO,VM-AxisBk,Your A/c no. XX9050 balance is INR -989.91. Download Axis Mobile http://goo.gl/T9UD9n. Bank Smart!
PAY,TRANSFER,AX-BOBSMS,Your VPA soniram164@okaxis linked to your a/c no. XXXXXX6300 is debited for Rs. 2000.0 and credited to a/c no. XXXXXX6843 UPI Ref no. 115707206345. - Bank of Baroda
PAY,WITHDRAWAL,VK-PNBSMS,Your PNB AC XX5627 is debited by Rs 423.6 on 24-07-2020 12:24:45 at ULUBERIA ON SITE ATM.Clear AC Bal Rs 94.16.Disputed TXN Reporting- goo.gl/4G2wW3. -eUNI
PAY,TRANSFER,CPCANBNK,"9571186012@ybl linked to a/c XXXXXXXXXX5587 debited for Rs.500.00 on 23/Sep/2020 20:16:58(UPI Ref no 026720191975).If you find txn suspicious, send BLOCKUPI to 9355492200. Tollfree 18002083333 or 180030113333"
PAY,PAY,BP-iPaytm,"Paid Rs 120.0 toll for AP24X8457 at Taramatipet on 20 May 2021, 08:52 PM. TxnId: 001082303726.Updated Paytm Bal: Paytm Wallet- Rs 575.21"
PAY,RECEIVE,BP-iPaytm,Intents Mobi has added Rs.2 to your Paytm balance. Keep the app installed to continue earning. Updated balance: Rs.2.
PAY,PAY,BP-PAYTMB,Paid Rs. 55.0 for vehicle reg. no GJ01HT4590 at Vadodara Toll Plaza on 25-06-2020 at 14:55:56. Toll txn Id: 00598727935
PAY,PAY,BP-iPaytm,"Paid Rs 115.0 toll for AP39HA4986 at Vempadu on 06 Jun 2021, 07:09 AM. TxnId: 73162294359643706412aP.Updated Paytm Bal: Paytm Wallet- Rs 0,Toll Wallet- Rs 87"
PAY,TRANSFER,BP-PAYTMB,"Sent Rs. 700.00 to RANIBAIANANT via a Paytm bank partner. Service charge 1%, min Rs. 10. Ref ID: 115719765346. Queries? Visit http://m.paytm.me/care  "
PAY,RECEIVE,CP-BOIIND,BOI UPI - Your VPA 6260632813@ybl linked to Bank of India a/c no. XXXXXXXXXXX8714 is reversed for Rs.400.00 (UPI Ref no 114054780197).
PAY,TRANSFER,TM-CANBNK,"8930100706@ybl linked to a/c XXXXXXXXXX9190 debited for Rs.100.00 on 06/Sep/2020 10:31:26(UPI Ref no 025040934986).If you find txn suspicious, send BLOCKUPI to 9355492200. Tollfree 18002083333 or 180030113333"
PAY,TRANSFER,BP-PAYTMB,"Sent Rs. 200.00 to Bimlesh via a Paytm bank partner. Service charge 1%, min Rs. 10. Ref ID: 107313356628. Queries? Visit http://m.paytm.me/care  "
PAY,PROMO,BT-HDFCBK,"Update!View Loan A/c details & download Annual Loan A/c Statement via HDFC Bank NetBanking: bit.ly/1cqqRYm. For Loan Service requests, click: bit.ly/2RzXZeY"
UPI_REQ,INFO/PROMO,AD-CANBNK,"Dear Customer,  All functionalities of e-infobook app have been migrated to Canara Mobile Banking App. As we are planning to discontinue e-infobook app soon, please migrate to Canara Mobile Banking app and uninstall e-infobook app. Download CANDI Mobile Banking app from https://bit.ly/2vagpaA -  Canara Bank"
UPI_REQ,REQUEST,BP-PAYTMB,"Dear Customer, Please enter your UPI PIN to create the automatic payment and authorize to pay towards NETFLIX COM. Click to approve: https://m.p-y.tm/UPImandates :PPBL"
UPI_REQ,INFO,JDUnionB,"Dear Customer, As a part of major technology migration your account with erstwhile Corporation Bank is being migrated to Union Bank of India. The present Mobile Banking app Corp EASE will not work from 09 PM on 27  Nov 2020 for your account. The U-Mobile app (android: https://tinyurl.com/y9tvk62q , ios: https://tinyurl.com/y6zjuvyv ) will be available from 06 AM on 30 Nov 2020 for a seamless Mobile banking experience for your migrated account. We sincerely regret for the inconvenience."
UPI_REQ,UPI REQUEST RECEIVED,MD-iPaytm,Dominos Pizza has requested payment of Rs 209.9. Click https://m.p-y.tm/upip?a=LKk-yhz&i=tai-M7O (valid till 12:35 PM) to pay using Paytm/UPI app.
UPI_REQ,UPI REQUEST RECEIVED,BP-iPaytm,MORE RETAIL L.. has requested payment of Rs 579. Click https://paytm.me/0Ad-Eka (valid till 10:37 AM) to pay using Paytm/UPI app.
UPI_REQ,UPI REQUEST RECEIVED,BP-iPaytm,Dominos Pizza has requested payment of Rs 61.96. Click https://m.p-y.tm/upip?a=J-hdZcF&i=ph-dZcF (valid till 08:22 PM) to pay using Paytm/UPI app.
UPI_REQ,INFO,BP-PAYTMB,Your transaction with reference number 13372272587 is successful on Paytm. For more details you can visit the passbook section of your Paytm app. In case of further query you may contact us on http://m.p-y.tm/care -PPBL
UPI_REQ,UPI REQUEST RECEIVED,VD-BOBSMS,"lazypay has requested money from you on your BHIM Baroda Pay app. On approving the request, Rs 800.00 will be debited from your account - Bank of Baroda"
UPI_REQ,REQUEST,BP-PAYTMB,Your request for mini statement is successful. Please find the requested receipt at the link https://k.p-y.tm/5PF4fEWV. Queries? Call 0120-4456456. :PPBL 
UPI_REQ,ACTIVATE,VK-PNBSMS,Welcome to Punjab National Bank. Your account has been opened on 05-06-2021 and your account number is 2701001700067542.
UPI_REQ,UPI REQUEST RECEIVED,BT-UNIONB,"PC GAMES has requested money from you on your Union Bank of India app.On approving the request , Rs 100.00 will be debited from your account. -Union Bank of India"
UPI_REQ,UPI REQUEST RECEIVED,BP-iPaytm,Spencers  D059 has requested payment of Rs 36.37. Click https://paytm.me/S8-sjBX (valid till 04:23 PM) to pay using Paytm/UPI app.
UPI_REQ,INFO,TM-HDFCBN,"Dear Customer, Pay 4th installment of your Advance Tax via HDFC Bank NetBanking. Last day of AdvanceTax payment: 15/03/2021. Pay now: resu.io/AHD4JK5OTBXX"
UPI_REQ,UPI REQUEST RECEIVED,BP-iPaytm,Dominos Pizza has requested payment of Rs 199.5. Click https://m.p-y.tm/upip?a=RTN-q5N&i=fOV-mDo (valid till 05:35 PM) to pay using Paytm/UPI app.
UPI_REQ,INFO,VM-CANBNK,Your daily usage limit has been set on your debit card xx4462  through Mobile App. To report fraud SMS SUSPECT to 56161- Canara Bank.
UPI_REQ,INFO,JK-UnionB,"Dear Customer, As a part of major technology migration your account with erstwhile Corporation Bank is being migrated to Union Bank of India. The present Mobile Banking app Corp EASE will not work from 10 PM on 13 Nov 2020 for your account. The U-Mobile app (android: https://tinyurl.com/y9tvk62q , ios: https://tinyurl.com/y6zjuvyv ) will be available from 06 AM on 16 Nov 2020 for a seamless Mobile banking experience for your migrated account. We sincerely regret for the inconvenience."
UPI_REQ,PROMO,AXCANBNK,"Dear Customer,  Now you can manage your Gold Loan through CANDI App. Login to CANDI app and navigate to Explore CANDI-> Loan Payment -Canara Bank"
UPI_REQ,INFO,AD-HDFCBK,Your Standing instruction on A/c 50100343608364 for payment of interest on gold loan no 72714815 will be presented on 01-Nov-2020
UPI_REQ,UPI REQUEST RECEIVED,AD-UNIONB,"SPAY has requested money from you on your Union Bank of India app.On approving the request , Rs 3000.00 will be debited from your account. -Union Bank of India"
UPI_REQ,ACTIVATE,JDCBSSBI,"Dear Customer, On your request, SI has been set up in account no. XXXXX573597. If not requested, please contact your branch.-SBI"
PROMO,PROMO,JD-KOTAKB,Howzzzaaat? Get the all-new Delhi Capitals 'Kotak MyTeam Credit Card' and get benefits up to Rs 2339. Apply here: kmbl.in/kpZuUo7hOxit T&C Apply
PROMO,PROMO,AX-KOTAKB,"Nizam Khan, save more in 2021 by opting for Kotak Home Loans at just 6.75*% p.a. onwards. Just click 2.kmbl.in/DIZLFdiPDwq. *T&C apply"
PROMO,PROMO,VM-HDFCBK,"SHG DIRECT LINKAGE of JANANI  K, LOS No. 113366417 is Approved"
PROMO,PROMO,BT-KOTAKB,Make your first DTH recharge using Kotak 811 App & get a voucher worth upto Rs. 100. T&C apply bit.ly/E-iop Offer ends 28 Feb 2021. 2.kmbl.in/D2FDjwtfHZp
PROMO,PROMO,BP-PFGAME,"Dear 9087XXXX05, Win a Seltos Car every week on Paytm First Games app. Also win Crores of rewards daily. Try Jackpot Spin to claim your prize! m.paytm.me/js T&C"
PROMO,INFO,BP-iPaytm,"As per Standing Instructions, FD has been booked for Rs 0.46 @ 7% p.a for a period of 12 months. Break FD anytime without any penalty charges."
PROMO,,BPipaytm,"प्रिय मर्चेंट, कृपया सेटलमेंट बैंक अकाउंट अपडेट करने के लिए क्लिक करें http://pytm.biz/acpymtstg पर - पेटीएम"
PROMO,PROMO,BP-vpaytm,"Cashback this great, hardly waits! Get Rs.1000 cashback this month only with Paytm First Credit Card, powered by Citibank. Apply now! https://m.p-y.tm/Pfcc"
PROMO,PROMO,BP-KOTAKB,"Rs.10 Lakh life cover = Rs.1,318 premium. Buy  Kotak Group Secure One, a life insurance, online. No Documents or Medicals. Takes 2 min: kmbl.in/khVrIL60y4gm .T&C apply"
PROMO,PROMO,AD-SBICRD,Big Bazaar Home Delivery Sale! Get benefits worth Rs.300 + Free Home Delivery in 2 hrs. + exciting offers with fbb SBI STYLEUP Credit Card. Valid: 01-09 May.TnC
PROMO,PROMO,AD-PNBDBD,"Dear Customer, Digital Services (Internet /Mobile Banking, UPI) may be interrupted from 1800 hrs27.11.20 to 0600 hrs30.11.20 due to scheduled maintenance activity. Kindly schedule your payments accordingly. Likely inconvenience regretted. Visit our website (www.pnbindia.in) for further guidance. PNB"
PROMO,PROMO,BP-PFGAME,"Dear 779XXXXX56, Get FREE entry into MEGA contest of ENG VS WI & Win Up to Rs.10 LAKH with your fantasy team on Paytm First Games. m.paytm.me/lfn2 T&C"
PROMO,PROMO,CP-HDFCBN,"Hey Shivam, Want to grow your business to new heights? HDFC Bank Summer Treats brings you handpicked offers! Watch our video: hdfcbk.net/2Rj55y6 T&C"
PROMO,PROMO,AXHDFCBN,"Greetings from HDFC Bank! We noticed your interest in opening a Savings A/C with us. Now you can open a Savings A/C in #Just2Mins & verify yourself via Video KYC from the comfort of your home. Enjoy the hassle free experience of India's No. 1 Bank with exclusive Debit Cards, Credit Cards, Loan Offers. Do it yourself: T&C Apply hdfcbk.net/Ll1689a"
PROMO,PROMO,AX-CANBNK,"Dear Customer, Opening a Recurring Deposit is easy now. You may download our Mobile Banking app from playstore and open an RD A/c in 2 to 3 steps or alternatively you may download our Mobile Banking app at https://bit.ly/2vagpaA -Canara Bank."
PROMO,PROMO,BP-vpaytm,"Dear Paytm Merchant, accept payments every week using Paytm QR and win 200 Merchant First Points! Click https://b.paytm.me/jyk to avail!"
PROMO,PROMO,BP-PFGAME,"Dear 9818XXXX17, WIN 1st Prize of Rs. 25,00,000! Create your team for KOL vs CHE T20 on Paytm First Games & Win Up to Rs. 10 Crore. Click m.paytm.me/mbns T&C"
PROMO,PROMO,MD-AxisBk,"Check balance, transfer fund, recharge, pay bills and do a lot more with Axis Mobile app. Click here to download it now: http://m.axisbank.com/download"
PROMO,PROMO,BPPFGAME,"Dear 6205XXXX90, WIN 1st Prize of Rs. 5,00,000! Create your team for MUM vs CHE T20 on Paytm First Games & Win Up to Rs. 1 Crore. Click m.paytm.me/mbns T&C"
PROMO,PROMO,VD-CANBNK,"Dear Customer, IMPS & UPI services will not be available intermittently from 01:00 AM to 04:00 AM on 26.03.2021 due to scheduled activity. We regret for the inconvenience -Canara Bank"
ACCOUNT_INFO,INFO,VM-SBICRD,"Dear Cardholder, You have missed your payment due date! Last day to avoid negative impact on your Credit Score and being reported as 'Delinquent' in Bureau records. Pay the outstanding of 47648.28 or Minimum Amount Due of 2977.11 against your SBI Credit Card ending 71 immediately. Please ignore if already paid."
ACCOUNT_INFO,DECLINE,VM-HDFCBK,"Dear Customer, your payment instructions towards your HDFC Bank CD LOAN_DELIVERY - 8298716  cannot be presented owing to issues with the mandate you have provided. We request you to provide a fresh mandate at your nearest branch.  In the interim you can use our -PayZapp for Business- platform to pay your EMI for the month. We will be sending you a link shortly. Please click the link and remit payment from any bank account in under a minute. Kindly ignore if already paid."
ACCOUNT_INFO,INFO,BP-Vpaytm,"Important: Paytm Postpaid bill of Rs.43.59 is due for payment tomorrow. Kindly pay on time to continue using Postpaid. Timely repayment also helps in improving your Credit Score. To pay now, click:http://m.paytm.me/Ppst Please ignore if already paid."
ACCOUNT_INFO,INFO,BT-HDFCBK,Update! Interest & charges of Rs. 258047.19 are pending on your Crop Loan facility A/c. XXXX2769 please contact our RM at 9730475718 for details. Ignore if paid.
ACCOUNT_INFO,INFO,TM-ICICIB,Total Amount of INR 83808.2 and Minimum Amount of INR 7760 is due by 08-Jun-21 on your ICICI Bank Credit Card XX3006. Pls ignore if already paid.
ACCOUNT_INFO,INFO,BP-iPaytm,New Premium for LIC Policy No 402964371 is ready. Amount Rs 1846.64. Due on 19th May 2021. Pay at https://paytm.me/s-DxITK on Paytm
ACCOUNT_INFO,INFO,AD-CANBNK,An amount of INR 16.00 has been kept as hold in your account Number ending with XXXX3225. Total Avail Bal INR 220.00 - Canara Bank.
ACCOUNT_INFO,INFO,AX-CANBNK,"Dear Customer, Thank you for registering for Canara Bank Internet Banking. Your User ID is 238663986."
ACCOUNT_INFO,INFO,BPVpaytm,Important: Bill for Paytm Postpaid facility availed from Clix Finance India Pvt Ltd is due for payment tomorrow.  Due Amount = Rs.1067.61 click: http://m.paytm.me/Ppst to pay now else your Postpaid account will be blocked and a late fee will be added to your account on June 8th. Ignore if paid.
ACCOUNT_INFO,INFO,BPVpaytm,"Pay your Paytm Postpaid dues availed from Clix Finance India Pvt Ltd! Due Amount = Rs.15155.89 Last Day to Pay = 07-June-2021 Late fee will be charged on June 8th . To pay now, click: http://m.paytm.me/Ppst Ignore if paid."
ACCOUNT_INFO,INFO,BP-Vpaytm,Important: Bill for Paytm Postpaid facility availed from Clix Finance India Pvt Ltd is due for payment tomorrow.  Due Amount = Rs.265.44 click: http://m.paytm.me/Ppst to pay now else your Postpaid account will be blocked and a late fee will be added to your account on June 8th. Ignore if paid.
ACCOUNT_INFO,ACTIVATE,VK-CANBNK,"Card ending 0073:Card usage at ATM/POS only is enabled as per RBI guidelines.Pl enable online/intnl usage through Net/Mobile Banking,ATM & Br."
ACCOUNT_INFO,INFO,AD-AXISBK,"Dear PULIPATI SANDEEP Your EMI of Rs 3404 for Axis Bank PERSONAL LOAN No. 2253 is due on 10-May-2021 . Clearing your EMIs in time can help in hassle free disbursement of remaining loan amount , Please ensure to keep adequate balance in your account to avoid late payment charges. Please click on the link if you have adequate balance available. https://bnk.ltd/hkqh5 , Thank You"
ACCOUNT_INFO,INFO,BP-iPaytm,New Premium for LIC Policy No 916533617 is ready. Amount Rs 2740.3. Due on 12th Jun 2021. Pay at https://paytm.me/Z4-O5cO on Paytm
ACCOUNT_INFO,INFO,BP-PAYTMB,Automatic Payment to MEHAK a/c no. XX8202 of Rs.1.0 for Mehak is due on 07-06-2021. Please maintain sufficient balance to avoid payment failure. :PPBL
ACCOUNT_INFO,INFO,BK-PNBSMS,Installment of INR 2200 in your loan A/c No XXXXX1000286 not deposited.Total amount due 2157.Plz ignore if already deposited.
ACCOUNT_INFO,INFO,VM-UNIONB,"Dear Cardholder, W.E.F May 2021 the Credit Card Billing Date is Changed. Please note that hence forth, credit card billing effective from May 2021 will be done on 25th of every month. The payment due date shall be 20 days from the billing date and the same shall be mentioned in the Credit Card Statement and the related SMS being sent after billing - Union Bank of India"
ACCOUNT_INFO,REPAY,BP-iPaytm,Payment of Rs. 500.00 received for Paytm Postpaid.   Updated spend limit = Rs. 4632.29  Remaining due amount = Rs. 318.71  Please pay immediately.  Click http://m.paytm.me/Ppst to check your transaction details.
ACCOUNT_INFO,INFO,JM-ICICIB,"Dear Customer, your well-being is of utmost importance to us, stay safe and bank on us. Payment of Rs 5525.04 is overdue on your ICICI Bank PayLater Account XX280. Non-payment of dues will adversely impact your credit score. Please clear the dues at the earliest. For payment, visit bit.ly/2IvbuKD . Ignore if already paid."
ACCOUNT_INFO,INFO,BP-Vpaytm,Important: Bill for Paytm Postpaid facility availed from Clix Finance India Pvt Ltd is due for payment tomorrow.  Due Amount = Rs.2750.41 click: http://m.paytm.me/Ppst to pay now else your Postpaid account will be blocked and a late fee will be added to your account on June 8th. Ignore if paid.
DEACTIVATE,DEACTIVATE,AD-HDFCBN,Your HDFC Bank Debit Card XX6355 has been disabled for international usage (POS， Ecom， & ATM) as per RBI guidelines， for security reasons. To enable， watch http://hdfcbk.co/DQzQTHYOc6M  Kindly note: You can still use your card for all domestic purposes.
DEACTIVATE,ACTIVATE,VK-CANBNK,"Your debit card ending xx0925 has been unblocked for Domestic Txn on 14-02-2021 at 12:52:39 through Mobile App- Canara Bank. To report fraud SMS SUSPECTto 56161- Canara Bank. Wear Mask, Follow Physical Distancing, Maintain Hand Hygiene."
DEACTIVATE,INFO,VKHDFCBK,"Your HDFC Bank Debit Card has been Dispatched to GEETANJALI branch. Please visit the branch along with original photo ID proof and address proof to collect the card. This Debit Card is disabled for Domestic Online, Contactless and International Transactions as per RBI guidelines, for security reasons. Click here for steps to enable: https://bit.ly/2YQZj0U?"
DEACTIVATE,DEACTIVATE,ADHDFCBK,"Your HDFC Bank Debit Card ending 1740 has been temporarily disabled for international usage (POS, Ecom, & ATM) as per RBI guidelines. To enable, watch https://bit.ly/2Yj8OGp  Kindly note: You can still use your card for all domestic usage."
DEACTIVATE,DEACTIVATE,VMHDFCBN,"Your HDFC Bank Debit Card XX4532 has been disabled for international usage (POS, Ecom, & ATM) as per RBI guidelines, for security reasons. To enable, watch http://hdfcbk.co/DQxp41rYzHb  Kindly note: You can still use your card for all domestic purposes."
DEACTIVATE,DEACTIVATE,AX-HDFCBK,**ALERT** Dear Customer Your HDFC Bank's Internet banking access & A/C has been blocked for security reasons. Please contact any nearest branch for any queries.
DEACTIVATE,DEACTIVATE,VM-HDFCBN,"Your HDFC Bank Debit Card XX2924 has been disabled for international usage (POS, Ecom, & ATM) as per RBI guidelines, for security reasons. To enable, watch http://hdfcbk.co/DS4t7M7lLUD  Kindly note: You can still use your card for all domestic purposes."
DEACTIVATE,INFO,AX-HDFCBK,"Your Debit Card has been Dispatched to MINDSPACE branch. Please visit the branch along with original photo ID proof and address proof to collect the card. This Debit Card is disabled for Domestic Online, Contactless and International Transactions as per RBI guidelines, for security reasons. Click here for steps to enable: https://bit.ly/2YQZj0U"
DEACTIVATE,DEACTIVATE,AX-HDFCBK,"Your HDFC Bank Debit Card ending 4696 has been temporarily disabled for international usage (POS, Ecom, & ATM) as per RBI guidelines. To enable, watch https://bit.ly/2Yj8OGp  Kindly note: You can still use your card for all domestic usage."
DEACTIVATE,DEACTIVATE,VK-HDFCBN,"Your HDFC Bank Debit Card XX6165 has been disabled for international usage (POS, Ecom, & ATM) as per RBI guidelines, for security reasons. To enable, watch http://hdfcbk.co/DS47s4LLgBg  Kindly note: You can still use your card for all domestic purposes."
DEACTIVATE,DEACTIVATE,VK-HDFCBN,"Your HDFC Bank Debit Card XX9908 has been disabled for international usage (POS, Ecom, & ATM) as per RBI guidelines, for security reasons. To enable, watch http://hdfcbk.co/DQoN7UmWfiO  Kindly note: You can still use your card for all domestic purposes."
DEACTIVATE,DEACTIVATE,VM-HDFCBN,"Your HDFC Bank Debit Card XX9242 has been disabled for international usage (POS, Ecom, & ATM) as per RBI guidelines, for security reasons. To enable, watch http://hdfcbk.co/D6HlpvWFNIl  Kindly note: You can still use your card for all domestic purposes."
DEACTIVATE,ACTIVATE,AD-CANBNK,"Your debit card ending xx1005 has been unblocked for Domestic Txn on 27-02-2021 at 10:20:08 through Mobile App- Canara Bank. To report fraud SMS SUSPECT to 56161- Canara Bank. Wear Mask, Follow Physical Distancing, Maintain Hand Hygiene."
DEACTIVATE,DEACTIVATE,MD-HDFCBK,"Your HDFC Bank Debit Card ending 4200 has been temporarily disabled for international usage (POS, Ecom, & ATM) as per RBI guidelines. To enable, watch https://bit.ly/2Yj8OGp  Kindly note: You can still use your card for all domestic usage."
DEACTIVATE,ACTIVATE,BT-CANBNK,"Your debit card ending xx8317 has been unblocked for Domestic Txn on 29-10-2020 at 21:20:48 through Mobile App- Canara Bank. To report fraud SMS SUSPECT to 56161- Canara Bank. Wear Mask, Follow Physical Distancing, Maintain Hand Hygiene."
DEACTIVATE,DEACTIVATE,VM-HDFCBN,"Your HDFC Bank Debit Card XX4065 has been disabled for international usage (POS, Ecom, & ATM) as per RBI guidelines, for security reasons. To enable, watch http://hdfcbk.co/DQ7bk7AXcQB  Kindly note: You can still use your card for all domestic purposes."
DEACTIVATE,DEACTIVATE,BT-HDFCBN,"Your HDFC Bank Debit Card XX3468 has been disabled for international usage (POS, Ecom, & ATM) as per RBI guidelines, for security reasons. To enable, watch http://hdfcbk.co/D6HQ7dj91zq  Kindly note: You can still use your card for all domestic purposes."
DEACTIVATE,INFO,VM-HDFCBK,"Your HDFC Bank Debit Card has been Dispatched to BODELI branch. Please visit the branch along with original photo ID proof and address proof to collect the card. This Debit Card is disabled for Domestic Online, Contactless and International Transactions as per RBI guidelines, for security reasons. Click here for steps to enable: https://bit.ly/2YQZj0U?"
DEACTIVATE,DEACTIVATE,AX-HDFCBK,"Your HDFC Bank Debit Card ending 9361 has been temporarily disabled for international usage (POS, Ecom, & ATM) as per RBI guidelines. To enable, watch https://bit.ly/2Yj8OGp  Kindly note: You can still use your card for all domestic usage."
DEACTIVATE,DEACTIVATE,AX-HDFCBN,"Your HDFC Bank Debit Card XX4469 has been disabled for international usage (POS, Ecom, & ATM) as per RBI guidelines, for security reasons. To enable, watch http://hdfcbk.co/DQz1hPSy4aB  Kindly note: You can still use your card for all domestic purposes."
REQUEST,REQUEST,BP-CANBNK,"Dear Customer, we got a request for linking your account for UPI XXXXXXXXXX4216 . Do not share your Debit card details/One-time password or OTP/Expiry date number to avoid any financial loss. If it is not initiated by you, please report immediately to your bank helpline no.(18004250018) to avoid any financial loss.-Canara Bank"
REQUEST,REQUEST,AX-HDFCBK,"Dear (Classic/Preferred/Imperia) Customer, You have recently availed Two Wheeler Loan  via Net Banking. To process the loan, we request you to submit all the required Post-disbursal documents to your dealer at the earliest."
